letter,place1,place2,place3,place4,place5
a,1.218,2.626,2.652,1.408,0.553
b,1.495,0.138,0.492,0.207,0.095
c,1.711,0.346,0.484,1.313,0.268
d,0.959,0.173,0.648,0.596,1.019
e,0.622,2.091,1.529,2.747,3.663
f,1.175,0.069,0.216,0.302,0.225
g,0.994,0.104,0.579,0.657,0.354
h,0.596,1.244,0.078,0.242,1.201
i,0.294,1.745,2.298,1.365,0.095
j,0.173,0.017,0.026,0.017,0.0
k,0.173,0.086,0.104,0.475,0.976
l,0.76,1.737,0.968,1.4,1.348
m,0.924,0.328,0.527,0.587,0.363
n,0.32,0.752,1.201,1.572,1.123
o,0.354,2.41,2.108,1.14,0.501
p,1.227,0.527,0.501,0.432,0.484
q,0.199,0.043,0.009,0.0,0.0
r,0.907,2.307,1.408,1.313,1.832
s,3.162,0.138,0.691,1.477,0.311
t,1.287,0.665,0.959,1.201,2.186
u,0.285,1.607,1.426,0.708,0.009
v,0.371,0.13,0.423,0.397,0.0
w,0.717,0.38,0.225,0.216,0.147
x,0.0,0.121,0.104,0.026,0.069
y,0.052,0.199,0.251,0.026,3.145
z,0.026,0.017,0.095,0.173,0.035
